region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
亲亲家园四期 ,H,3,3,S N,3,0,14,201,20.0,3.505,4.0761,92.0,375.0
保利东湾 ,H,4,2,S,1,1,15,33,20.0,1.02,2.3441,153.58,360.0
金雅苑社区 ,H,2,2,S,2,1,17,95,20.0,2.02,2.9365,87.52,257.0
西溪蝶园二期 ,H,3,2,S N,3,1,14,123,20.0,2.335,4.1911000000000005,146.74,615.0
奥兰多小镇 ,H,3,2,S N,2,0,19,49,20.0,1.4,2.5299,130.44,330.0
古荡新村西区 ,H,3,1,S,1,0,12,32,20.0,0.9,3.7004,78.37,290.0
凤起都市花园 ,H,2,1,W,2,1,19,29,20.0,1.1,4.6102,49.89,230.0
康乐香港城 ,H,3,1,S,2,0,29,18,20.0,1.285,3.503,81.36,285.0
树园 ,H,2,1,S N,0,0,27,8,27.0,0.7889,4.0667,51.64,210.0
近江家园八园 ,H,1,1,S,2,0,4,11,20.0,0.305,5.5951,46.47,260.0
中南公寓 ,H,2,2,S,3,0,1,10,20.0,0.185,4.2893,81.6,350.0
滨江家园 ,H,2,1,S N,3,0,3,40,20.0,0.705,5.2824,60.2,318.0
滨江城市之星 ,H,4,2,S,3,1,3,53,20.0,0.9,6.5746,225.11,1480.0
芳满庭 ,H,3,2,S,3,1,9,32,20.0,0.795,5.2488,87.64,460.0
复兴北苑 ,H,1,1,S,0,0,10,20,20.0,0.65,4.5723,33.9,155.0
中誉现代城 ,H,1,1,E,2,1,15,11,20.0,0.69,2.7114000000000003,46.84,127.0
康都紫轩 ,H,3,2,S,3,1,5,74,20.0,1.285,6.1787,137.57,850.0
马塍路35号 ,H,3,1,S N,2,0,3,32,20.0,0.585,7.887,67.2,530.0
信余里 ,H,2,1,E,2,0,1,5,20.0,0.11,4.3315,61.18,265.0
望江家园东园 ,H,3,2,S,3,1,1,16,20.0,0.275,4.8032,122.42,588.0
采荷街道商教苑社区 ,H,3,2,S N,2,0,1,6,20.0,0.125,5.3322,90.02,480.0
宋都阳光国际 ,H,2,2,S N,2,1,2,11,14.0,0.3357,3.1292,89.48,280.0
花园南村 ,H,3,1,S,2,0,9,1,20.0,0.33,6.4322,76.18,490.0
东冠逸景花苑 ,H,2,1,S,2,0,1,9,14.0,0.2429,2.3034,89.0,205.0
保利东湾 ,H,3,2,SE,1,1,14,240,20.0,4.09,2.8632,90.81,260.0
盛德欣苑 ,H,2,2,S,3,1,7,29,20.0,0.68,4.3729000000000005,100.62,440.0
世纪坊 ,H,3,2,S,3,0,0,85,20.0,1.275,4.9041000000000015,91.76,450.0
紫金公寓 ,H,3,1,S,1,0,7,39,20.0,0.83,3.9496,78.49,310.0
大华海派风景 ,H,3,2,S,1,1,4,39,20.0,0.725,3.3647,86.19,290.0
青春坊 ,H,3,2,S,2,0,6,22,20.0,0.54,4.4416,108.07,480.0
大家多立方 ,H,3,2,S,2,1,11,58,20.0,1.255,3.1163000000000003,81.83,255.0
紫金公寓 ,H,3,2,S N,2,0,7,65,20.0,1.22,3.8521,98.65,380.0
民安苑 ,H,1,0,S,0,0,0,56,20.0,0.84,4.8095,28.07,135.0
南都花园一区 ,H,2,2,S N,2,0,9,34,20.0,0.825,4.7238000000000016,76.21,360.0
彩虹城 ,H,4,2,S N,3,1,7,48,20.0,0.965,4.6281,146.93,680.0
亲亲家园二期 ,H,3,2,S N,2,1,9,19,20.0,0.6,2.8488,133.39,380.0
上郡 ,H,3,2,S NW,2,1,11,40,20.0,0.985,4.7909000000000015,88.71,425.0
白荡海人家 ,H,4,2,S,2,0,7,7,20.0,0.35,6.0825000000000005,116.4,708.0
野风海天城 ,H,3,2,S N,1,1,11,17,20.0,0.64,2.4915000000000003,128.44,320.0
观邸国际 ,H,3,2,S,3,1,19,68,20.0,1.685,3.2811000000000003,109.72,360.0
锦昌文华苑 ,H,4,2,S N,2,1,7,43,20.0,0.89,5.388999999999999,114.68,618.0
临平桂花城南区 ,H,4,2,S N,2,0,9,15,20.0,0.54,2.1273,159.83,340.0
耀江福村 ,H,3,2,S N,2,0,1,2,20.0,0.065,4.8338,94.75,458.0
亲亲家园一期 ,H,4,2,S,3,1,33,25,20.0,1.53,2.9412000000000003,153.0,450.0
良渚文化村七贤郡 ,H,3,2,S,3,1,29,118,20.0,2.785,2.4941,88.21,220.0
新城香悦奥府 ,H,3,1,S N,1,1,43,74,20.0,2.615,3.6808,85.58,315.0
万科北宸之光 ,H,3,2,S,3,1,48,75,20.0,2.805,3.5947,89.02,320.0
金地自在城 ,H,3,2,S,3,1,48,50,20.0,2.43,3.9011,89.72,350.0
江南豪园 ,H,4,2,SE N,0,1,16,26,20.0,0.95,4.1236000000000015,172.18,710.0
广厦天都城天星苑 ,H,3,2,S,3,0,31,29,20.0,1.52,2.2233,83.21,185.0
倾城之恋 ,H,4,2,S,3,1,2,107,20.0,1.675,4.6829,253.69,1188.0
中海御道 ,H,3,2,S N,1,0,0,39,20.0,0.585,5.6850000000000005,146.0,830.0
钱塘景苑 ,H,3,2,S N,2,0,2,30,20.0,0.52,4.0689,138.86,565.0
大关东三苑 ,H,2,1,S,2,0,7,12,13.0,0.6538,3.7112,49.85,185.0
康乐香港城 ,H,2,2,S,2,0,9,5,20.0,0.39,4.0928,73.3,300.0
金地自在城 ,H,2,2,S N,3,1,15,587,20.0,9.33,3.5899,79.39,285.0
塘河北村 ,H,2,1,S,2,0,16,59,20.0,1.445,3.1021,69.31,215.0
江南文苑 ,H,2,2,S,3,1,1,44,20.0,0.695,4.1068,87.66,360.0
锦昌年华 ,H,4,2,S N,3,0,0,3,20.0,0.045,2.1159,146.51,310.0
凯旋路32号 ,H,2,1,S N,2,0,0,0,20.0,0.0,5.7983,51.74,300.0
近江苑 ,H,2,1,S N,3,0,0,0,20.0,0.0,5.449400000000002,70.65,385.0
都市水乡水秀苑 ,H,2,2,S N,2,1,15,41,20.0,1.14,2.8933,93.32,270.0
久睦苑 ,H,2,1,S,2,0,19,118,20.0,2.435,2.5687,62.29,160.0
嘉泰馨庭 ,H,3,2,NW N,3,1,17,69,20.0,1.63,4.6505,66.66,310.0
新江花园 ,H,2,2,S,2,1,20,79,20.0,1.885,2.6956,79.76,215.0
华龙家园 ,H,3,1,S N,2,0,1,2,20.0,0.065,5.3242,84.52,450.0
建国南苑 ,H,2,1,S,0,1,0,2,20.0,0.03,4.3131,81.15,350.0
久睦苑 ,H,2,1,S,3,0,20,98,20.0,2.17,2.5903,61.77,160.0
怡静坊 ,H,2,2,S,2,0,0,1,20.0,0.015,4.5088,64.32,290.0
东方福邸 ,H,5,2,S,1,1,0,5,6.0,0.25,4.8743,266.71,1300.0
天阳美林湾 ,H,2,2,S N,3,1,29,185,20.0,3.79,3.383,88.68,300.0
亲亲家园二期 ,H,4,2,S N,3,0,4,163,20.0,2.585,2.8515,140.28,400.0
良渚文化村白鹭郡南 ,H,2,2,S N,3,0,20,39,20.0,1.285,2.6405000000000003,89.0,235.0
林司后 ,H,2,1,S,1,0,24,40,20.0,1.44,4.3050000000000015,47.62,205.0
金地西溪风华 ,H,4,2,S,1,0,19,56,20.0,1.505,3.76,125.0,470.0
万科北宸之光 ,H,3,2,S N,3,1,21,314,20.0,5.445,3.1809000000000003,89.6,285.0
良渚文化村白鹭郡南 ,H,3,2,S N,3,0,24,60,20.0,1.74,2.8021000000000003,89.22,250.0
太阳国际公寓 ,H,3,2,S N,2,1,25,21,20.0,1.19,4.4750000000000005,129.61,580.0
爵士风情花园 ,H,2,2,S N,2,0,26,201,20.0,3.925,2.0444,87.56,179.0
多蓝水岸碧海苑 ,H,3,2,S,3,1,24,44,20.0,1.5,2.0861,151.0,315.0
欧美金融城 ,H,3,2,S,2,1,45,27,20.0,1.98,3.9888,89.0,355.0
融创河滨之城 ,H,3,2,S,1,0,21,48,20.0,1.455,5.0659,88.83,450.0
金帝金色钱塘 ,H,3,2,S N,0,1,30,88,20.0,2.37,3.3963,106.0,360.0
世茂江滨花园峻景湾 ,H,3,2,S,2,1,25,68,20.0,1.895,2.7455000000000003,89.24,245.0
绿洲花园 ,H,3,2,S,2,1,19,19,20.0,0.95,5.155200000000002,95.05,490.0
新城香悦奥府 ,H,3,1,S N,1,1,26,11,20.0,1.075,3.9221,86.18,338.0
合景叠彩园 ,H,3,2,S N,0,1,19,42,20.0,1.295,3.9,105.0,409.5
金地自在城 ,H,3,2,S,3,1,28,63,20.0,1.925,4.0225,89.0,358.0
新城香悦奥府 ,H,3,2,S,1,1,28,10,20.0,1.13,3.96,85.86,340.0
石匠弄 ,H,3,1,S N,2,0,11,4,9.0,0.9889,4.1778,63.67,266.0
世茂之西湖 ,H,1,1,S,3,1,4,14,20.0,0.35,4.0825000000000005,48.99,200.0
天阳美林湾 ,H,3,2,S N,3,1,15,51,25.0,1.032,2.9251,95.04,278.0
广宇上东领地 ,H,3,2,W,3,1,12,60,20.0,1.32,2.8986,89.7,260.0
龙湖滟澜山澜轩 ,H,3,2,SE N,3,1,0,57,20.0,0.855,3.8977,127.0,495.0
坤和和家园 ,H,4,2,S N,3,1,11,54,20.0,1.195,4.1159,184.65,760.0
城南家园 ,H,1,1,S,3,1,14,85,20.0,1.765,4.0074000000000005,43.67,175.0
盛世钱塘 ,H,3,2,S,3,1,2,11,30.0,0.1567,6.1991000000000005,145.99,905.0
崇化住宅区 ,H,2,1,S N,0,0,31,6,23.0,1.0217,2.4171,58.75,142.0
亿丰蔚蓝郡 ,H,3,2,S,1,1,0,1,15.0,0.02,3.1735,92.96,295.0
白金海岸 ,H,3,1,S,2,1,34,50,20.0,1.94,3.8669,118.96,460.0
清水公寓 ,H,4,3,S N,1,1,3,55,20.0,0.93,4.6493,322.63,1500.0
锦昌文华苑 ,H,4,2,S N,2,1,4,80,20.0,1.34,4.4269,151.35,670.0
圆梦园 ,H,4,2,S NW,1,1,1,227,20.0,3.44,2.9435,166.47,490.0
文二路21号 ,H,3,1,S,2,0,4,40,20.0,0.74,7.6497,75.82,580.0
三江花园(萧山) ,H,3,2,S,2,0,2,95,20.0,1.495,2.5456000000000003,129.64,330.0
世茂江滨花园碧景湾 ,H,4,2,S N,1,1,1,109,20.0,1.67,2.5669999999999997,171.41,440.0
艮园社区 ,H,3,1,S N,2,0,3,44,20.0,0.765,4.4461,68.6,305.0
大王庙巷小区 ,H,2,1,S N,2,0,5,81,20.0,1.39,4.2195,54.51,230.0
岸上蓝山 ,H,3,2,S N,3,0,1,89,20.0,1.37,2.0673,125.77,260.0
绿洲之馨公寓 ,H,3,2,S,2,1,4,41,20.0,0.755,4.5594,124.58,568.0
大家多立方 ,H,3,2,S N,2,1,3,13,20.0,0.3,3.3618,89.24,300.0
翠苑五区 ,H,3,1,S N,2,0,4,40,20.0,0.74,4.5984,75.68,348.0
恩济花苑 ,H,3,2,S N,3,0,1,57,20.0,0.89,4.2838,121.39,520.0
水陆寺巷 ,H,2,1,S N,3,0,2,103,20.0,1.615,4.4584,54.28,242.0
钱塘景苑 ,H,4,2,S N,2,1,4,84,20.0,1.4,3.4986,171.5,600.0
武林路 ,H,3,1,S,1,0,1,97,20.0,1.49,5.4091000000000005,82.27,445.0
嘉绿西苑 ,H,3,2,S,3,1,3,35,20.0,0.63,4.5623000000000005,116.17,530.0
朝晖九区 ,H,3,1,S,2,0,5,39,20.0,0.76,3.8528,70.08,270.0
观澜时代云邸苑 ,H,3,1,S,3,1,7,20,20.0,0.545,2.6804,85.81,230.0
大王庙巷小区 ,H,2,1,S,2,0,2,28,20.0,0.49,4.2890000000000015,52.46,225.0
西溪华东园 ,H,4,2,S N,3,1,5,18,20.0,0.445,3.3247,138.36,460.0
元都新景公寓 ,H,3,2,S,1,1,2,29,20.0,0.505,2.6754,134.56,360.0
云溪香山 ,H,4,2,S,2,0,5,23,20.0,0.52,2.9655,138.26,410.0
丁桥兰苑 ,H,3,2,S,1,1,3,57,20.0,0.96,2.3471,100.55,236.0
广宇上东名筑 ,H,3,2,S,2,1,12,16,20.0,0.66,3.0882,89.05,275.0
复兴北苑 ,H,3,1,S N,2,0,16,8,20.0,0.68,4.4187,86.0,380.0
丽晶湾 ,H,3,2,S N,3,1,17,37,20.0,1.15,4.0089999999999995,89.8,360.0
丁桥家苑 ,H,3,2,S,1,0,1,1,26.0,0.0385,2.5,104.0,260.0
铭雅苑东区 ,H,3,2,S,2,0,1,3,26.0,0.0615,2.9770000000000003,103.46,308.0
东新园望景苑 ,H,3,1,S,1,1,2,5,21.0,0.1381,3.4411,110.43,380.0
钱江湾花园 ,H,2,2,S,2,1,0,3,7.0,0.1286,4.1240000000000006,94.57,390.0
德胜东村 ,H,2,1,S N,2,0,0,5,7.0,0.2143,3.7387,56.17,210.0
天阳美林湾 ,H,3,2,S,3,1,7,12,14.0,0.6071,3.3639,115.94,390.0
红苹果家园 ,H,3,2,S N,2,1,0,100,20.0,1.5,3.1282,118.28,370.0
桃园新村 ,H,3,1,S,2,0,0,58,20.0,0.87,6.2327,72.2,450.0
三里家园一区 ,H,3,2,S,1,1,0,97,20.0,1.455,3.1929000000000003,118.39,378.0
金都雅苑 ,H,3,2,S,3,0,8,53,20.0,1.075,2.8096,106.78,300.0
大华海派风景 ,H,4,2,S,1,1,0,41,20.0,0.615,3.4425000000000003,88.6,305.0
金隅观澜时代朗轩 ,H,3,1,SE,3,1,0,17,20.0,0.255,3.0294000000000003,94.08,285.0
广厦天都城天风苑 ,H,3,2,S,2,0,5,60,20.0,1.075,1.756,119.59,210.0
青园小区 ,H,2,2,S N,2,1,0,44,20.0,0.66,4.9943,96.11,480.0
凯旋路104号 ,H,3,1,S,2,0,0,28,20.0,0.42,4.891,75.65,370.0
望江新园一园 ,H,2,2,S,1,1,8,39,20.0,0.865,4.4938,88.79,399.0
世茂江滨花园峻景湾 ,H,2,1,S,1,1,8,4,20.0,0.34,2.7529000000000003,89.0,245.0
兴安公寓 ,H,5,2,S,2,0,4,10,20.0,0.29,1.7373,149.66,260.0
多蓝水岸听涛苑 ,H,3,2,S,1,1,8,42,20.0,0.91,2.0278,135.62,275.0
云龙十一景 ,H,3,2,S,2,1,9,6,20.0,0.405,5.1291,128.68,660.0
古荡新村西区 ,H,3,1,S N,1,0,9,22,20.0,0.645,3.9732,80.54,320.0
彩虹城 ,H,3,1,S,1,1,8,12,20.0,0.46,4.0164,129.47,520.0
南都江滨花园 ,H,4,3,S N,3,0,3,6,20.0,0.195,4.4275,225.41,998.0
江南文苑 ,H,3,2,S N,2,1,12,18,20.0,0.69,4.1249,89.7,370.0
金隅学府 ,H,3,2,S,3,1,1,18,20.0,0.305,7.5,112.0,840.0
万科大都会79号 ,H,4,2,S,3,0,0,5,20.0,0.075,7.7612,167.5,1300.0
浙地人家 ,H,4,2,S,1,0,0,48,20.0,0.72,1.9423,200.8,390.0
海月花园 ,H,4,2,S N,3,0,6,19,20.0,0.495,4.3485000000000005,135.68,590.0
流水苑 ,H,2,1,S,0,0,0,0,21.0,0.0,4.5716,55.78,255.0
三里家园一区 ,H,2,1,S,2,0,3,20,18.0,0.45,3.6049,51.32,185.0
圣都公寓 ,H,3,2,S N,2,1,3,1,20.0,0.12,3.8826,128.78,500.0
良渚文化村白鹭郡南 ,H,3,1,S,2,0,7,31,20.0,0.71,3.5165,89.58,315.0
金雅苑社区 ,H,3,1,S N,1,1,5,226,20.0,3.565,2.6569000000000003,88.45,235.0
泰和苑 ,H,2,1,S N,2,0,7,70,20.0,1.295,4.1246,48.49,200.0
京都苑 ,H,2,1,SE N,2,1,4,81,20.0,1.355,3.8402,89.84,345.0
芳满庭 ,H,3,1,S,2,1,6,137,20.0,2.265,4.5008,88.43,398.0
复兴北苑 ,H,2,1,S,2,0,9,25,20.0,0.69,4.3524,47.79,208.0
康乐香港城 ,H,1,1,S,2,0,10,99,20.0,1.835,4.1096,40.15,165.0
蚕花园永宁坊 ,H,2,1,S,2,1,5,162,20.0,2.605,2.6042,86.4,225.0
混堂桥 ,H,2,1,S N,2,0,7,44,20.0,0.905,5.067,52.3,265.0
大关东二苑 ,H,2,1,S,1,0,7,36,20.0,0.785,3.6871,62.38,230.0
钱塘名都 ,H,2,1,S,1,1,5,18,20.0,0.445,5.2464,87.68,460.0
金狮苑 ,H,2,1,S N,2,0,7,38,20.0,0.815,4.269,65.59,280.0
南北西岸 ,H,2,2,S,2,1,5,13,20.0,0.37,4.6745,87.71,410.0
中海紫藤苑 ,H,2,2,S,3,1,11,47,20.0,1.09,3.8397,88.55,340.0
金成花园 ,H,2,1,S,2,0,8,22,20.0,0.61,5.1765,59.5,308.0
玄坛公寓 ,H,2,2,S N,3,0,6,14,20.0,0.42,5.1666,82.26,425.0
北景园竹邻苑 ,H,2,2,S,2,0,10,9,20.0,0.485,3.4339,59.7,205.0
梦琴湾 ,H,4,2,S,0,1,7,4,20.0,0.305,2.0626,172.12,355.0
董家弄 ,H,2,1,S,2,0,12,48,20.0,1.14,3.5340000000000003,49.52,175.0
农港苑 ,H,2,1,S N,2,1,18,30,20.0,1.08,2.6588000000000003,62.06,165.0
下沙文汇苑 ,H,3,2,S,2,1,0,2,20.0,0.03,2.4833000000000003,149.0,370.0
翠苑东四区 ,H,2,1,S N,2,0,13,9,20.0,0.59,4.3183,60.21,260.0
三里新城兰苑 ,H,5,1,S,2,0,0,6,20.0,0.09,3.5521000000000003,143.58,510.0
保利东湾 ,H,3,2,S,3,1,8,9,23.0,0.3609,2.742,93.0,255.0
美好桂花金座 ,H,2,2,S,3,0,10,28,21.0,0.7333,2.0586,87.44,180.0
香滨湾花园 ,H,2,2,S,3,1,12,17,20.0,0.675,3.1653,88.46,280.0
滨江城市之星 ,H,3,2,SW,3,1,3,25,20.0,0.48,6.527900000000002,194.55,1270.0
欣盛东方郡东区 ,H,2,1,S NW,2,1,42,42,20.0,2.1,5.6199,88.97,500.0
万象城悦玺 ,H,1,0,S,0,1,0,0,20.0,0.0,5.8026,232.31,1348.0
石板巷新村 ,H,2,1,S N,2,0,44,57,20.0,2.395,4.2985,41.41,178.0
桂花城 ,H,3,2,S N,2,0,27,20,20.0,1.245,6.3796,94.05,600.0
金雅苑社区 ,H,2,1,S N,3,1,36,36,20.0,1.8,2.9499,88.14,260.0
万家星城 ,H,4,2,S,3,1,0,3,28.0,0.0321,4.729,173.4,820.0
南都德迦东区 ,H,4,2,S N,2,0,3,3,20.0,0.15,4.8660000000000005,141.39,688.0
星汇荣邸 ,H,3,2,S,2,1,5,2,17.0,0.2412,3.7012,87.0,322.0
十五家园 ,H,2,1,S N,2,0,3,10,14.0,0.3643,4.0704,47.17,192.0
大家多立方 ,H,3,1,S,2,1,1,4,11.0,0.1727,3.225,80.0,258.0
天湖公寓 ,H,3,2,S N,2,1,13,37,20.0,1.01,3.1575,125.1,395.0
师苑新村 ,H,2,1,S N,2,0,5,16,20.0,0.415,6.9257,59.2,410.0
龙湖滟澜山丽轩一期 ,H,2,2,E,1,1,14,66,20.0,1.48,3.3793,81.38,275.0
万科魅力之城 ,H,3,2,S,3,1,17,54,20.0,1.405,3.1617,86.98,275.0
钱塘春晓 ,H,3,2,S N,3,1,8,42,20.0,0.91,4.4218,147.0,650.0
多蓝水岸银沙苑 ,H,3,2,S,1,1,17,17,20.0,0.85,2.063,143.0,295.0
东方福邸 ,H,3,2,S N,3,1,20,13,27.0,0.663,5.8611,88.38,518.0
南岸晶都花园 ,H,3,2,S,2,1,1,41,20.0,0.65,3.6839,132.47,488.0
古荡新村西区 ,H,3,2,S,2,0,6,51,20.0,0.975,4.0434,69.25,280.0
