visited,url,attention,house_info,publishday,unit_price,region,total_price
0,,8, | 2室1厅 | 74.99平米 | 南 | 其他 | 无电梯,,44673,美政花苑 ,335
8,,33, | 1室1厅 | 46.48平米 | 南 北 | 简装 | 无电梯,,55939,近江家园九园 ,260
1,,29, | 2室1厅 | 71.33平米 | 东南 | 简装 | 有电梯,,50470,近江家园四园 ,360
2,,7, | 3室1厅 | 76.08平米 | 南 北 | 简装 | 无电梯,,49948,耀江福村 ,380
1,,13, | 3室2厅 | 146.85平米 | 南 北 | 精装 | 有电梯,,59245,盛世钱塘 ,870
1,,113, | 1室1厅 | 52.86平米 | 南 | 毛坯,,37836,严官巷 ,200
9,,34, | 3室1厅 | 60.7平米 | 东北 | 其他 | 有电梯,,75124,盛世钱塘 ,456
0,,19, | 3室1厅 | 78.38平米 | 南 | 精装 | 无电梯,,50396,采荷路17号 ,395
0,,40, | 2室1厅 | 59.9平米 | 南 北 | 精装 | 无电梯,,58097,近江家园四园 ,348
2,,90, | 2室2厅 | 97.22平米 | 南 | 简装 | 有电梯,,37030,贺田尚城 ,360
6,,95, | 3室2厅 | 132.6平米 | 南 北 | 精装 | 有电梯,,29412,滨文苑 ,390
0,,49, | 3室3厅 | 152.58平米 | 南 北 | 毛坯 | 有电梯,,58986,盛世钱塘 ,900
11,,51, | 2室0厅 | 43.49平米 | 南 | 精装 | 无电梯,,57025,采荷新村 ,248
0,,3, | 2室2厅 | 68.04平米 | 东 西 | 简装 | 无电梯,,57026,文华苑 ,388
1,,88, | 2室1厅 | 56.49平米 | 南 北 | 简装 | 无电梯,,40716,金田花园 ,230
1,,38, | 2室2厅 | 90.16平米 | 南 北 | 精装 | 有电梯,,77640,万象城悦府 ,700
3,,38, | 2室2厅 | 72平米 | 南 | 精装 | 无电梯,,48612,凤凰南苑 ,350
1,,28, | 4室2厅 | 107.27平米 | 南 | 简装 | 无电梯,,29645,北干一苑 ,318
23,,358, | 3室1厅 | 88.55平米 | 南 | 毛坯 | 有电梯,,25184,复地连城国际 ,223
23,,27, | 3室2厅 | 114平米 | 南 北 | 简装 | 有电梯,,32457,亲亲家园四期 ,370
19,,77, | 3室1厅 | 125.3平米 | 南 北 | 毛坯 | 无电梯,,21549,盛世嘉园 ,270
5,,6, | 2室1厅 | 77.06平米 | 南 | 毛坯 | 无电梯,,51908,世纪坊 ,400
1,,19, | 2室1厅 | 70.12平米 | 南 | 简装 | 有电梯,,56475,近江家园六园 ,396
1,,7, | 2室1厅 | 58.25平米 | 南 | 简装 | 无电梯,,44636,居安坊 ,260
4,,39, | 2室1厅 | 67.09平米 | 南 | 其他 | 无电梯,,45462,景芳东区 ,305
28,,44, | 2室0厅 | 40平米 | 南 | 精装 | 无电梯,31,27500,萧绍路小区 ,110
1,,10, | 2室1厅 | 80.71平米 | 南 | 毛坯 | 有电梯,30,38410,望江新园一园 ,310
14,,24, | 2室2厅 | 87.44平米 | 南 | 简装 | 有电梯,14,49749,寰宇天下 ,435
1,,341, | 1室1厅 | 103平米 | 南 | 精装 | 有电梯,,40777,绿城蓝色钱江 ,420
0,,55, | 4室2厅 | 137平米 | 东 南 北 | 精装 | 无电梯,,43066,复兴城市家园 ,590
1,,34, | 6室2厅 | 301.32平米 | 南 北 | 精装 | 有电梯,,92925,东方润园 ,2800
6,,86, | 1室1厅 | 40.43平米 | 东南 | 简装 | 有电梯,,29681,景江城市花园 ,120
0,,27, | 2室1厅 | 61.81平米 | 南 | 简装,,48536,四牌楼 ,300
0,,6, | 2室1厅 | 54.28平米 | 南 | 简装 | 无电梯,,48821,观音塘小区 ,265
1,,21, | 3室2厅 | 176.31平米 | 南 北 | 精装 | 有电梯,,48211,钱江时代公寓 ,850
3,,3, | 3室1厅 | 64.7平米 | 南 北 | 简装 | 无电梯,,51778,采荷街道商教苑社区 ,335
3,,26, | 4室2厅 | 167.85平米 | 南 北 | 简装 | 无电梯,,36938,滨江新苑 ,620
14,,20, | 4室2厅 | 144.89平米 | 南 | 精装 | 无电梯,,42792,山水人家白沙岛 ,620
1,,178, | 1室1厅 | 38.33平米 | 东 东南 | 简装 | 有电梯,,27394,景江城市花园 ,105
6,,682, | 1室1厅 | 34.22平米 | 南 | 简装 | 无电梯,,39451,复兴南苑 ,135
9,,4, | 2室2厅 | 84.95平米 | 南 | 毛坯 | 有电梯,28,33785,宋都阳光国际 ,287
2,,53, | 3室2厅 | 111.85平米 | 南 | 简装 | 无电梯,,27537,北干一苑 ,308
2,,28, | 4室2厅 | 206.15平米 | 东南 | 毛坯 | 有电梯,,57240,水岸帝景 ,1180
1,,11, | 3室2厅 | 136.01平米 | 南 北 | 其他 | 有电梯,,53673,采荷人家 ,730
19,,23, | 2室1厅 | 81.1平米 | 南 | 毛坯 | 有电梯,,39458,望江新园一园 ,320
10,,2, | 3室2厅 | 119.4平米 | 南 | 精装 | 无电梯,26,48577,政苑小区 ,580
2,,53, | 2室2厅 | 64.42平米 | 南 北 | 精装 | 无电梯,,54331,近江家园二园 ,350
0,,15, | 4室2厅 | 152.64平米 | 南 北 | 其他 | 有电梯,,55687,采荷人家 ,850
0,,2, | 3室3厅 | 120.46平米 | 东南 | 简装 | 无电梯,,49810,文华苑 ,600
54,,55, | 2室1厅 | 61平米 | 东 南 北 | 精装 | 有电梯,,27050,阳光逸城 ,165
32,,15, | 2室1厅 | 48.79平米 | 南 | 精装 | 无电梯,,43042,海狮沟 ,210
0,,27, | 3室2厅 | 136.45平米 | 南 | 简装 | 有电梯,,41041,贺田尚城 ,560
0,,8, | 2室1厅 | 53.38平米 | 南 北 | 简装 | 无电梯,,48708,百岁坊巷 ,260
20,,42, | 3室1厅 | 81.98平米 | 南 | 精装 | 无电梯,20,34155,紫金公寓 ,280
22,,238, | 2室2厅 | 82.94平米 | 南 北 | 精装 | 有电梯,,35207,亲亲家园四期 ,292
2,,22, | 3室1厅 | 113.28平米 | 南 北 | 毛坯 | 有电梯,,34428,和达城 ,390
19,,28, | 3室1厅 | 57.54平米 | 南 | 简装 | 无电梯,,39973,仓基新村 ,230
20,,18, | 2室1厅 | 48.18平米 | 南 | 简装 | 无电梯,,44625,复兴南苑 ,215
0,,9, | 3室2厅 | 188平米 | 南 北 | 毛坯,,61171,中海御道 ,1150
6,,8, | 2室1厅 | 70.74平米 | 东南 | 简装 | 无电梯,18,29687,三里亭苑四区 ,210
14,,25, | 2室1厅 | 51.65平米 | 南 | 简装 | 无电梯,16,39691,沈塘桥19弄 ,205
0,,127, | 1室0厅 | 53.74平米 | 西南 | 精装 | 有电梯,,43730,绿城蓝色钱江 ,235
8,,38, | 5室3厅 | 121.81平米 | 南 | 简装 | 无电梯,,34070,绿都四季花城 ,415
22,,15, | 3室2厅 | 130.9平米 | 南 | 简装 | 有电梯,,23454,野风海天城 ,307
2,,17, | 3室2厅 | 149.58平米 | 南 北 | 精装 | 有电梯,,33294,爱丁郡 ,498
14,,201, | 3室3厅 | 92平米 | 南 北 | 精装 | 无电梯,,40761,亲亲家园四期 ,375
15,,33, | 4室2厅 | 153.58平米 | 南 | 毛坯 | 有电梯,,23441,保利东湾 ,360
17,,95, | 2室2厅 | 87.52平米 | 南 | 简装 | 有电梯,,29365,金雅苑社区 ,257
14,,123, | 3室2厅 | 146.74平米 | 南 北 | 精装 | 有电梯,,41911,西溪蝶园二期 ,615
19,,49, | 3室2厅 | 130.44平米 | 南 北 | 简装 | 无电梯,,25299,奥兰多小镇 ,330
12,,32, | 3室1厅 | 78.37平米 | 南 | 毛坯 | 无电梯,,37004,古荡新村西区 ,290
19,,29, | 2室1厅 | 49.89平米 | 西 | 简装 | 有电梯,,46102,凤起都市花园 ,230
29,,18, | 3室1厅 | 81.36平米 | 南 | 简装 | 无电梯,,35030,康乐香港城 ,285
27,,8, | 2室1厅 | 51.64平米 | 南 北 | 其他 | 无电梯,27,40667,树园 ,210
4,,11, | 1室1厅 | 46.47平米 | 南 | 简装 | 无电梯,,55951,近江家园八园 ,260
1,,10, | 2室2厅 | 81.6平米 | 南 | 精装 | 无电梯,,42893,中南公寓 ,350
3,,40, | 2室1厅 | 60.2平米 | 南 北 | 精装 | 无电梯,,52824,滨江家园 ,318
3,,53, | 4室2厅 | 225.11平米 | 南 | 精装 | 有电梯,,65746,滨江城市之星 ,1480
9,,32, | 3室2厅 | 87.64平米 | 南 | 精装 | 有电梯,,52488,芳满庭 ,460
10,,20, | 1室1厅 | 33.9平米 | 南 | 其他 | 无电梯,,45723,复兴北苑 ,155
15,,11, | 1室1厅 | 46.84平米 | 东 | 简装 | 有电梯,,27114,中誉现代城 ,127
5,,74, | 3室2厅 | 137.57平米 | 南 | 精装 | 有电梯,,61787,康都紫轩 ,850
3,,32, | 3室1厅 | 67.2平米 | 南 北 | 简装 | 无电梯,,78870,马塍路35号 ,530
1,,5, | 2室1厅 | 61.18平米 | 东 | 简装 | 无电梯,,43315,信余里 ,265
1,,16, | 3室2厅 | 122.42平米 | 南 | 精装 | 有电梯,,48032,望江家园东园 ,588
1,,6, | 3室2厅 | 90.02平米 | 南 北 | 简装 | 无电梯,,53322,采荷街道商教苑社区 ,480
2,,11, | 2室2厅 | 89.48平米 | 南 北 | 简装 | 有电梯,14,31292,宋都阳光国际 ,280
9,,1, | 3室1厅 | 76.18平米 | 南 | 简装 | 无电梯,,64322,花园南村 ,490
1,,9, | 2室1厅 | 89平米 | 南 | 简装 | 无电梯,14,23034,东冠逸景花苑 ,205
14,,240, | 3室2厅 | 90.81平米 | 东南 | 毛坯 | 有电梯,,28632,保利东湾 ,260
7,,29, | 2室2厅 | 100.62平米 | 南 | 精装 | 有电梯,,43729,盛德欣苑 ,440
0,,85, | 3室2厅 | 91.76平米 | 南 | 精装 | 无电梯,,49041,世纪坊 ,450
7,,39, | 3室1厅 | 78.49平米 | 南 | 毛坯 | 无电梯,,39496,紫金公寓 ,310
4,,39, | 3室2厅 | 86.19平米 | 南 | 毛坯 | 有电梯,,33647,大华海派风景 ,290
6,,22, | 3室2厅 | 108.07平米 | 南 | 简装 | 无电梯,,44416,青春坊 ,480
11,,58, | 3室2厅 | 81.83平米 | 南 | 简装 | 有电梯,,31163,大家多立方 ,255
7,,65, | 3室2厅 | 98.65平米 | 南 北 | 简装 | 无电梯,,38521,紫金公寓 ,380
0,,56, | 1室0厅 | 28.07平米 | 南 | 其他 | 无电梯,,48095,民安苑 ,135
9,,34, | 2室2厅 | 76.21平米 | 南 北 | 简装 | 无电梯,,47238,南都花园一区 ,360
7,,48, | 4室2厅 | 146.93平米 | 南 北 | 精装 | 有电梯,,46281,彩虹城 ,680
9,,19, | 3室2厅 | 133.39平米 | 南 北 | 简装 | 有电梯,,28488,亲亲家园二期 ,380
11,,40, | 3室2厅 | 88.71平米 | 南 西 北 | 简装 | 有电梯,,47909,上郡 ,425
7,,7, | 4室2厅 | 116.4平米 | 南 | 简装 | 无电梯,,60825,白荡海人家 ,708
11,,17, | 3室2厅 | 128.44平米 | 南 北 | 毛坯 | 有电梯,,24915,野风海天城 ,320
19,,68, | 3室2厅 | 109.72平米 | 南 | 精装 | 有电梯,,32811,观邸国际 ,360
7,,43, | 4室2厅 | 114.68平米 | 南 北 | 简装 | 有电梯,,53890,锦昌文华苑 ,618
9,,15, | 4室2厅 | 159.83平米 | 南 北 | 简装 | 无电梯,,21273,临平桂花城南区 ,340
1,,2, | 3室2厅 | 94.75平米 | 南 北 | 简装 | 无电梯,,48338,耀江福村 ,458
33,,25, | 4室2厅 | 153平米 | 南 | 精装 | 有电梯,,29412,亲亲家园一期 ,450
29,,118, | 3室2厅 | 88.21平米 | 南 | 精装 | 有电梯,,24941,良渚文化村七贤郡 ,220
43,,74, | 3室1厅 | 85.58平米 | 南 北 | 毛坯 | 有电梯,,36808,新城香悦奥府 ,315
48,,75, | 3室2厅 | 89.02平米 | 南 | 精装 | 有电梯,,35947,万科北宸之光 ,320
48,,50, | 3室2厅 | 89.72平米 | 南 | 精装 | 有电梯,,39011,金地自在城 ,350
16,,26, | 4室2厅 | 172.18平米 | 东 南 北 | 其他 | 有电梯,,41236,江南豪园 ,710
31,,29, | 3室2厅 | 83.21平米 | 南 | 精装,,22233,广厦天都城天星苑 ,185
2,,107, | 4室2厅 | 253.69平米 | 南 | 精装 | 有电梯,,46829,倾城之恋 ,1188
0,,39, | 3室2厅 | 146平米 | 南 北 | 毛坯,,56850,中海御道 ,830
2,,30, | 3室2厅 | 138.86平米 | 南 北 | 简装 | 无电梯,,40689,钱塘景苑 ,565
7,,12, | 2室1厅 | 49.85平米 | 南 | 简装 | 无电梯,13,37112,大关东三苑 ,185
9,,5, | 2室2厅 | 73.3平米 | 南 | 简装 | 无电梯,,40928,康乐香港城 ,300
15,,587, | 2室2厅 | 79.39平米 | 南 北 | 精装 | 有电梯,,35899,金地自在城 ,285
16,,59, | 2室1厅 | 69.31平米 | 南 | 简装 | 无电梯,,31021,塘河北村 ,215
1,,44, | 2室2厅 | 87.66平米 | 南 | 精装 | 有电梯,,41068,江南文苑 ,360
0,,3, | 4室2厅 | 146.51平米 | 南 北 | 精装,,21159,锦昌年华 ,310
0,,0, | 2室1厅 | 51.74平米 | 南 北 | 简装,,57983,凯旋路32号 ,300
0,,0, | 2室1厅 | 70.65平米 | 南 北 | 精装 | 无电梯,,54494,近江苑 ,385
15,,41, | 2室2厅 | 93.32平米 | 南 北 | 简装 | 有电梯,,28933,都市水乡水秀苑 ,270
19,,118, | 2室1厅 | 62.29平米 | 南 | 简装,,25687,久睦苑 ,160
17,,69, | 3室2厅 | 66.66平米 | 西北 北 | 精装 | 有电梯,,46505,嘉泰馨庭 ,310
20,,79, | 2室2厅 | 79.76平米 | 南 | 简装 | 有电梯,,26956,新江花园 ,215
1,,2, | 3室1厅 | 84.52平米 | 南 北 | 简装 | 无电梯,,53242,华龙家园 ,450
0,,2, | 2室1厅 | 81.15平米 | 南 | 其他 | 有电梯,,43131,建国南苑 ,350
20,,98, | 2室1厅 | 61.77平米 | 南 | 精装,,25903,久睦苑 ,160
0,,1, | 2室2厅 | 64.32平米 | 南 | 简装,,45088,怡静坊 ,290
0,,5, | 5室2厅 | 266.71平米 | 南 | 毛坯 | 有电梯,6,48743,东方福邸 ,1300
29,,185, | 2室2厅 | 88.68平米 | 南 北 | 精装 | 有电梯,,33830,天阳美林湾 ,300
4,,163, | 4室2厅 | 140.28平米 | 南 北 | 精装 | 无电梯,,28515,亲亲家园二期 ,400
20,,39, | 2室2厅 | 89平米 | 南 北 | 精装 | 无电梯,,26405,良渚文化村白鹭郡南 ,235
24,,40, | 2室1厅 | 47.62平米 | 南 | 毛坯 | 无电梯,,43050,林司后 ,205
19,,56, | 4室2厅 | 125平米 | 南 | 毛坯 | 无电梯,,37600,金地西溪风华 ,470
21,,314, | 3室2厅 | 89.6平米 | 南 北 | 精装 | 有电梯,,31809,万科北宸之光 ,285
24,,60, | 3室2厅 | 89.22平米 | 南 北 | 精装 | 无电梯,,28021,良渚文化村白鹭郡南 ,250
25,,21, | 3室2厅 | 129.61平米 | 南 北 | 简装 | 有电梯,,44750,太阳国际公寓 ,580
26,,201, | 2室2厅 | 87.56平米 | 南 北 | 简装 | 无电梯,,20444,爵士风情花园 ,179
24,,44, | 3室2厅 | 151平米 | 南 | 精装 | 有电梯,,20861,多蓝水岸碧海苑 ,315
45,,27, | 3室2厅 | 89平米 | 南 | 简装 | 有电梯,,39888,欧美金融城 ,355
21,,48, | 3室2厅 | 88.83平米 | 南 | 毛坯,,50659,融创河滨之城 ,450
30,,88, | 3室2厅 | 106平米 | 南 北 | 其他 | 有电梯,,33963,金帝金色钱塘 ,360
25,,68, | 3室2厅 | 89.24平米 | 南 | 简装 | 有电梯,,27455,世茂江滨花园峻景湾 ,245
19,,19, | 3室2厅 | 95.05平米 | 南 | 简装 | 有电梯,,51552,绿洲花园 ,490
26,,11, | 3室1厅 | 86.18平米 | 南 北 | 毛坯 | 有电梯,,39221,新城香悦奥府 ,338
19,,42, | 3室2厅 | 105平米 | 南 北 | 其他 | 有电梯,,39000,合景叠彩园 ,409.5
28,,63, | 3室2厅 | 89平米 | 南 | 精装 | 有电梯,,40225,金地自在城 ,358
28,,10, | 3室2厅 | 85.86平米 | 南 | 毛坯 | 有电梯,,39600,新城香悦奥府 ,340
11,,4, | 3室1厅 | 63.67平米 | 南 北 | 简装 | 无电梯,9,41778,石匠弄 ,266
4,,14, | 1室1厅 | 48.99平米 | 南 | 精装 | 有电梯,,40825,世茂之西湖 ,200
15,,51, | 3室2厅 | 95.04平米 | 南 北 | 精装 | 有电梯,25,29251,天阳美林湾 ,278
12,,60, | 3室2厅 | 89.7平米 | 西 | 精装 | 有电梯,,28986,广宇上东领地 ,260
0,,57, | 3室2厅 | 127平米 | 东 南 北 | 精装 | 有电梯,,38977,龙湖滟澜山澜轩 ,495
11,,54, | 4室2厅 | 184.65平米 | 南 北 | 精装 | 有电梯,,41159,坤和和家园 ,760
14,,85, | 1室1厅 | 43.67平米 | 南 | 精装 | 有电梯,,40074,城南家园 ,175
2,,11, | 3室2厅 | 145.99平米 | 南 | 精装 | 有电梯,30,61991,盛世钱塘 ,905
31,,6, | 2室1厅 | 58.75平米 | 南 北 | 其他 | 无电梯,23,24171,崇化住宅区 ,142
0,,1, | 3室2厅 | 92.96平米 | 南 | 毛坯 | 有电梯,15,31735,亿丰蔚蓝郡 ,295
34,,50, | 3室1厅 | 118.96平米 | 南 | 简装 | 有电梯,,38669,白金海岸 ,460
3,,55, | 4室3厅 | 322.63平米 | 南 北 | 毛坯 | 有电梯,,46493,清水公寓 ,1500
4,,80, | 4室2厅 | 151.35平米 | 南 北 | 简装 | 有电梯,,44269,锦昌文华苑 ,670
1,,227, | 4室2厅 | 166.47平米 | 南 西 北 | 毛坯 | 有电梯,,29435,圆梦园 ,490
4,,40, | 3室1厅 | 75.82平米 | 南 | 简装 | 无电梯,,76497,文二路21号 ,580
2,,95, | 3室2厅 | 129.64平米 | 南 | 简装 | 无电梯,,25456,三江花园(萧山) ,330
1,,109, | 4室2厅 | 171.41平米 | 南 北 | 毛坯 | 有电梯,,25670,世茂江滨花园碧景湾 ,440
3,,44, | 3室1厅 | 68.6平米 | 南 北 | 简装 | 无电梯,,44461,艮园社区 ,305
5,,81, | 2室1厅 | 54.51平米 | 南 北 | 简装 | 无电梯,,42195,大王庙巷小区 ,230
1,,89, | 3室2厅 | 125.77平米 | 南 北 | 精装 | 无电梯,,20673,岸上蓝山 ,260
4,,41, | 3室2厅 | 124.58平米 | 南 | 简装 | 有电梯,,45594,绿洲之馨公寓 ,568
3,,13, | 3室2厅 | 89.24平米 | 南 北 | 简装 | 有电梯,,33618,大家多立方 ,300
4,,40, | 3室1厅 | 75.68平米 | 南 北 | 简装 | 无电梯,,45984,翠苑五区 ,348
1,,57, | 3室2厅 | 121.39平米 | 南 北 | 精装 | 无电梯,,42838,恩济花苑 ,520
2,,103, | 2室1厅 | 54.28平米 | 南 北 | 精装 | 无电梯,,44584,水陆寺巷 ,242
4,,84, | 4室2厅 | 171.5平米 | 南 北 | 简装 | 有电梯,,34986,钱塘景苑 ,600
1,,97, | 3室1厅 | 82.27平米 | 南 | 毛坯 | 无电梯,,54091,武林路 ,445
3,,35, | 3室2厅 | 116.17平米 | 南 | 精装 | 有电梯,,45623,嘉绿西苑 ,530
5,,39, | 3室1厅 | 70.08平米 | 南 | 简装 | 无电梯,,38528,朝晖九区 ,270
7,,20, | 3室1厅 | 85.81平米 | 南 | 精装 | 有电梯,,26804,观澜时代云邸苑 ,230
2,,28, | 2室1厅 | 52.46平米 | 南 | 简装 | 无电梯,,42890,大王庙巷小区 ,225
5,,18, | 4室2厅 | 138.36平米 | 南 北 | 精装 | 有电梯,,33247,西溪华东园 ,460
2,,29, | 3室2厅 | 134.56平米 | 南 | 毛坯 | 有电梯,,26754,元都新景公寓 ,360
5,,23, | 4室2厅 | 138.26平米 | 南 | 简装 | 无电梯,,29655,云溪香山 ,410
3,,57, | 3室2厅 | 100.55平米 | 南 | 毛坯 | 有电梯,,23471,丁桥兰苑 ,236
12,,16, | 3室2厅 | 89.05平米 | 南 | 简装 | 有电梯,,30882,广宇上东名筑 ,275
16,,8, | 3室1厅 | 86平米 | 南 北 | 简装 | 无电梯,,44187,复兴北苑 ,380
17,,37, | 3室2厅 | 89.8平米 | 南 北 | 精装 | 有电梯,,40090,丽晶湾 ,360
1,,1, | 3室2厅 | 104平米 | 南 | 毛坯 | 无电梯,26,25000,丁桥家苑 ,260
1,,3, | 3室2厅 | 103.46平米 | 南 | 简装 | 无电梯,26,29770,铭雅苑东区 ,308
2,,5, | 3室1厅 | 110.43平米 | 南 | 毛坯 | 有电梯,21,34411,东新园望景苑 ,380
0,,3, | 2室2厅 | 94.57平米 | 南 | 简装 | 有电梯,7,41240,钱江湾花园 ,390
0,,5, | 2室1厅 | 56.17平米 | 南 北 | 简装 | 无电梯,7,37387,德胜东村 ,210
7,,12, | 3室2厅 | 115.94平米 | 南 | 精装 | 有电梯,14,33639,天阳美林湾 ,390
0,,100, | 3室2厅 | 118.28平米 | 南 北 | 简装 | 有电梯,,31282,红苹果家园 ,370
0,,58, | 3室1厅 | 72.2平米 | 南 | 简装 | 无电梯,,62327,桃园新村 ,450
0,,97, | 3室2厅 | 118.39平米 | 南 | 毛坯 | 有电梯,,31929,三里家园一区 ,378
8,,53, | 3室2厅 | 106.78平米 | 南 | 精装 | 无电梯,,28096,金都雅苑 ,300
0,,41, | 4室2厅 | 88.6平米 | 南 | 毛坯 | 有电梯,,34425,大华海派风景 ,305
0,,17, | 3室1厅 | 94.08平米 | 东南 | 精装 | 有电梯,,30294,金隅观澜时代朗轩 ,285
5,,60, | 3室2厅 | 119.59平米 | 南 | 简装,,17560,广厦天都城天风苑 ,210
0,,44, | 2室2厅 | 96.11平米 | 南 北 | 简装 | 有电梯,,49943,青园小区 ,480
0,,28, | 3室1厅 | 75.65平米 | 南 | 简装 | 无电梯,,48910,凯旋路104号 ,370
8,,39, | 2室2厅 | 88.79平米 | 南 | 毛坯 | 有电梯,,44938,望江新园一园 ,399
8,,4, | 2室1厅 | 89平米 | 南 | 毛坯 | 有电梯,,27529,世茂江滨花园峻景湾 ,245
4,,10, | 5室2厅 | 149.66平米 | 南 | 简装 | 无电梯,,17373,兴安公寓 ,260
8,,42, | 3室2厅 | 135.62平米 | 南 | 毛坯 | 有电梯,,20278,多蓝水岸听涛苑 ,275
9,,6, | 3室2厅 | 128.68平米 | 南 | 简装 | 有电梯,,51291,云龙十一景 ,660
9,,22, | 3室1厅 | 80.54平米 | 南 北 | 毛坯 | 无电梯,,39732,古荡新村西区 ,320
8,,12, | 3室1厅 | 129.47平米 | 南 | 毛坯 | 有电梯,,40164,彩虹城 ,520
3,,6, | 4室3厅 | 225.41平米 | 南 北 | 精装 | 无电梯,,44275,南都江滨花园 ,998
12,,18, | 3室2厅 | 89.7平米 | 南 北 | 简装 | 有电梯,,41249,江南文苑 ,370
1,,18, | 3室2厅 | 112平米 | 南 | 精装 | 有电梯,,75000,金隅学府 ,840
0,,5, | 4室2厅 | 167.5平米 | 南 | 精装,,77612,万科大都会79号 ,1300
0,,48, | 4室2厅 | 200.8平米 | 南 | 毛坯 | 无电梯,,19423,浙地人家 ,390
6,,19, | 4室2厅 | 135.68平米 | 南 北 | 精装 | 无电梯,,43485,海月花园 ,590
0,,0, | 2室1厅 | 55.78平米 | 南 | 其他 | 无电梯,21,45716,流水苑 ,255
3,,20, | 2室1厅 | 51.32平米 | 南 | 简装 | 无电梯,18,36049,三里家园一区 ,185
3,,1, | 3室2厅 | 128.78平米 | 南 北 | 简装 | 有电梯,20,38826,圣都公寓 ,500
7,,31, | 3室1厅 | 89.58平米 | 南 | 简装 | 无电梯,,35165,良渚文化村白鹭郡南 ,315
5,,226, | 3室1厅 | 88.45平米 | 南 北 | 毛坯 | 有电梯,,26569,金雅苑社区 ,235
7,,70, | 2室1厅 | 48.49平米 | 南 北 | 简装 | 无电梯,,41246,泰和苑 ,200
4,,81, | 2室1厅 | 89.84平米 | 东南 北 | 简装 | 有电梯,,38402,京都苑 ,345
6,,137, | 3室1厅 | 88.43平米 | 南 | 简装 | 有电梯,,45008,芳满庭 ,398
9,,25, | 2室1厅 | 47.79平米 | 南 | 简装 | 无电梯,,43524,复兴北苑 ,208
10,,99, | 1室1厅 | 40.15平米 | 南 | 简装 | 无电梯,,41096,康乐香港城 ,165
5,,162, | 2室1厅 | 86.4平米 | 南 | 简装 | 有电梯,,26042,蚕花园永宁坊 ,225
7,,44, | 2室1厅 | 52.3平米 | 南 北 | 简装 | 无电梯,,50670,混堂桥 ,265
7,,36, | 2室1厅 | 62.38平米 | 南 | 毛坯 | 无电梯,,36871,大关东二苑 ,230
5,,18, | 2室1厅 | 87.68平米 | 南 | 毛坯 | 有电梯,,52464,钱塘名都 ,460
7,,38, | 2室1厅 | 65.59平米 | 南 北 | 简装 | 无电梯,,42690,金狮苑 ,280
5,,13, | 2室2厅 | 87.71平米 | 南 | 简装 | 有电梯,,46745,南北西岸 ,410
11,,47, | 2室2厅 | 88.55平米 | 南 | 精装 | 有电梯,,38397,中海紫藤苑 ,340
8,,22, | 2室1厅 | 59.5平米 | 南 | 简装 | 无电梯,,51765,金成花园 ,308
6,,14, | 2室2厅 | 82.26平米 | 南 北 | 精装 | 无电梯,,51666,玄坛公寓 ,425
